Year,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
2018,63,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174
2018,64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074
2018,65,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034
2018,66,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023
2018,67,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0
2018,68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037
2018,69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022
2018,70,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148
2018,71,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105
2018,72,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074
2018,73,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154
2018,74,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109
2018,75,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113
2018,76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291
2018,77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017
2018,78,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043
2018,79,Greece,5.358,1.154,1.202,0.879,0.131,0,0.044
2018,80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136
2018,81,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081
2018,82,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039
2018,83,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106
2018,84,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135
2018,85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074
2018,86,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103
2018,87,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176
2018,88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034
2018,89,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052
2018,90,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134
2018,91,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032
2018,92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035
2018,93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0
2018,94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032
2018,95,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079
2018,96,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018
2018,97,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171
2018,98,Somalia,4.982,0,0.712,0.115,0.674,0.238,0.282
2018,99,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043
2018,100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009
2018,101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078
2018,102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052
2018,103,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052
2018,104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076
2018,105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056
2018,106,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129
2018,107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103
2018,108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029
2018,109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082
2018,110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174
2018,111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063
2018,112,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032
2018,113,Sierra Leone,4.571,0.256,0.813,0,0.355,0.238,0.053
2018,114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077
2018,115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144
2018,116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05
2018,117,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095
2018,118,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056
2018,119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064
2018,120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065
2018,121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128
2018,122,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107
2018,123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158
2018,124,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055
2018,125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082
2018,126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093
2018,127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146
2018,128,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215
2018,129,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028
2018,130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178
2018,131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06
2018,132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052
2018,133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093
2018,134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099
2018,135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061
2018,136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067
2018,137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082
2018,138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011
2018,139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101
2018,140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094
2018,141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112
2018,142,Angola,3.795,0.73,1.125,0.269,0,0.079,0.061
2018,143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049
2018,144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099
2018,145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036
2018,146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092
2018,147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08
2018,148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104
2018,149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03
2018,150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144
2018,151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444
2018,152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064
2018,153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097
2018,154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106
2018,155,Central African Republic,3.083,0.024,0,0.01,0.305,0.218,0.038
2018,156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076
2015,1,Switzerland,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978
2015,2,Iceland,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145
2015,3,Denmark,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357
2015,4,Norway,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503
2015,5,Canada,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957
2015,6,Finland,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372
2015,7,Netherlands,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814
2015,8,Sweden,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844
2015,9,New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922
2015,10,Australia,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637
2015,11,Israel,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785
2015,12,Costa Rica,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583
2015,13,Austria,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676
2015,14,Mexico,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312
2015,15,United States,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589
2015,16,Brazil,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521
2015,17,Luxembourg,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798
2015,18,Ireland,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703
2015,19,Belgium,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254
2015,20,United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583
2015,21,United Kingdom,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067
2015,22,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524
2015,23,Venezuela,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069
2015,24,Singapore,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921
2015,25,Panama,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927
2015,26,Germany,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843
2015,27,Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869
2015,28,Qatar,6.611,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208
2015,29,France,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646
2015,30,Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484
2015,31,Czech Republic,6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652
2015,32,Uruguay,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558
2015,33,Colombia,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512
2015,34,Thailand,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187
2015,35,Saudi Arabia,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524
2015,36,Spain,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398
2015,37,Malta,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586
2015,38,Taiwan,6.298,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129
2015,39,Kuwait,6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609
2015,40,Suriname,6.269,0.99534,0.972,0.6082,0.59657,0.16991,0.13633
2015,41,Trinidad and Tobago,6.168,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114
