STATION,NAME,Year,Decade,Month,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-03,0,0,1,19,2,15,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-04,0,0,1,26,7,23,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-05,0,0,1,25,6,23,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-06,0,0,1,29,17,27,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-07,0,0,0,32,16,29,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-08,0,0,0,31,11,28,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-09,0.08,0.8,1,28,19,25,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-10,0.02,0.3,0,28,17,25,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-11,0.03,0.4,1,25,17,21,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-12,0,0,0,31,12,27,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-13,0,0,0,29,10,27,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-14,0.01,0.1,0,33,26,29,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-15,0.2,2.1,2,29,21,24,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-16,0.1,1,3,24,15,18,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-17,0,0,3,23,6,16,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-18,0,0,3,28,4,25,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-19,0,0,1,38,22,36,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-20,0,0,0,38,35,38,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-21,0,0,0,43,35,39,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-22,0.71,0.1,0,39,32,35,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-23,0,0,0,35,32,35,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-24,0,0,0,35,28,32,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-25,0.03,0.4,0,32,22,23,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-26,0.03,0.4,0,23,4,19,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-27,0.04,0.7,0,27,17,23,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-28,0.01,0.1,0,25,12,20,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-29,0.01,0.3,0,20,-3,8,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-01,0,0,0,19,0,14,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-02,0,0,0,25,-2,24,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-03,0,0,0,31,7,28,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-04,0,0,0,41,19,39,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-05,0.15,1.6,12,39,25,27,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-06,0,0,0,31,13,28,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-07,0.08,1,6,32,19,30,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-08,0.71,7,8,32,27,30,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-09,0,0,5,38,17,35,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-10,0,0.1,22,46,30,33,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-11,0.01,0.2,2,33,16,23,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-12,0,0,2,28,7,23,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-13,0.18,1.6,4,31,20,31,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-14,0.07,0.6,2,39,23,37,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-15,0,0,1,38,17,36,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-16,0,0,0,55,28,51,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-17,0.9,0,0,52,33,33,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-18,0.02,0.2,0,42,25,41,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-19,0,0,0,50,30,48,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-20,0,0,0,56,35,52,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-21,1.03,3.6,14,52,31,33,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-22,0,0,0,39,24,37,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-23,0,0,0,37,26,36,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-24,0.34,0,0,37,32,34,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-25,0.04,0.3,0,34,28,32,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-26,0,0,0,40,23,38,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-27,0,0,0,48,26,47,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-28,0,0,0,48,34,44,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-29,0.29,0,0,44,35,43,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-30,0,0,0,51,30,47,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,03,1980-03-31,0.49,0,0,47,37,40,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-01,0.01,0,0,42,36,42,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-02,0.07,0,0,54,37,52,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-03,0.02,0,0,52,29,42,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-04,1.02,0,0,42,35,38,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-05,0,0,0,57,33,56,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-06,0,0,0,59,35,57,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-07,0.02,0,0,57,39,52,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-08,0.23,0,0,59,49,54,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-09,0.23,0,0,54,40,40,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-10,0.15,0,0,41,33,41,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-11,0,0,0,50,36,48,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-12,0.15,0,0,50,40,45,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-13,0,0,0,48,29,44,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-14,0.88,1.1,0,44,31,40,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-15,0.07,0.1,0,41,33,40,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-16,0,0,0,44,26,42,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-17,0,0,0,55,29,53,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-18,0,0,0,67,41,66,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-19,0,0,0,71,43,69,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-20,0,0,0,71,52,68,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-21,0,0,0,69,36,68,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-22,0,0,0,86,51,85,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-23,0,0,0,85,47,58,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-24,0.04,0,0,58,34,42,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-25,0.28,0,0,58,34,52,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-26,0,0,0,57,33,54,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-27,0.02,0,0,54,40,50,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-28,0.59,0,0,54,42,53,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-29,0.11,0,0,57,44,49,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,04,1980-04-30,0.15,0,0,55,45,55,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-01,0,0,0,63,41,61,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-02,0,0,0,70,46,68,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-03,0,0,0,80,49,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-04,0,0,0,81,49,81,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-05,0,0,0,84,61,82,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-06,0,0,0,83,51,69,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-07,0,0,0,69,38,50,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-08,0,0,0,50,35,49,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-09,0,0,0,56,33,55,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-10,0,0,0,64,39,60,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-11,0.22,0,0,66,50,63,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-12,0,0,0,65,49,63,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-13,0.23,0,0,74,50,65,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-14,0.14,0,0,65,42,56,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-15,0.02,0,0,59,41,57,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-16,0,0,0,64,39,62,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-17,0.48,0,0,62,51,56,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-18,0.89,0,0,65,55,62,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-19,0,0,0,71,52,69,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-20,0,0,0,71,46,70,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-21,0,0,0,75,52,74,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-22,0,0,0,83,53,82,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-23,0,0,0,82,54,73,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-24,0,0,0,78,60,77,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-25,0,0,0,78,60,75,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-26,0,0,0,75,44,70,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-27,0,0,0,77,43,77,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-28,0,0,0,85,55,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-29,0.04,0,0,80,60,78,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-30,0.12,0,0,82,61,65,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,05,1980-05-31,1.14,0,0,74,59,74,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-01,0.12,0,0,74,47,57,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-02,0.15,0,0,77,57,73,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-03,0.88,0,0,73,62,70,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-04,0,0,0,71,51,70,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-05,0,0,0,70,45,65,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-06,0.1,0,0,83,57,80,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-07,0.65,0,0,80,62,73,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-08,0,0,0,74,45,57,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-09,0.11,0,0,63,50,57,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-10,0,0,0,57,36,56,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-11,0,0,0,68,38,67,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-12,0,0,0,75,49,75,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-13,0,0,0,79,53,79,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-14,0.06,0,0,80,58,69,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-15,1.29,0,0,72,54,54,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-16,0.01,0,0,64,42,64,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-17,0,0,0,71,44,71,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-18,0,0,0,76,54,73,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-19,0.39,0,0,75,52,61,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-20,0.01,0,0,73,45,73,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-21,0,0,0,77,51,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-22,0,0,0,82,57,82,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-23,0,0,0,83,59,81,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-24,0,0,0,81,65,77,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-25,0,0,0,84,63,84,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-26,0,0,0,88,66,87,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-27,0,0,0,87,64,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-28,0,0,0,87,59,86,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-29,0,0,0,86,63,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,06,1980-06-30,0,0,0,76,57,68,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-01,0,0,0,82,53,77,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-02,0.02,0,0,79,64,79,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-03,0,0,0,83,54,83,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-04,0,0,0,83,62,74,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-05,0.48,0,0,85,65,82,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-06,0,0,0,84,53,75,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-07,0.02,0,0,78,54,78,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-08,0,0,0,85,72,83,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-09,0.11,0,0,83,60,71,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-10,0,0,0,85,63,85,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-11,0,0,0,90,66,88,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-12,0.05,0,0,88,63,71,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-13,0,0,0,84,55,83,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-14,0,0,0,87,63,85,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-15,0.09,0,0,93,72,93,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-16,1.07,0,0,93,62,86,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-17,0,0,0,86,68,80,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-18,0,0,0,80,60,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-19,0.01,0,0,87,71,85,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-20,0,0,0,92,69,92,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-21,0.03,0,0,92,71,79,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-22,0.17,0,0,82,68,81,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-23,0,0,0,81,60,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-24,0,0,0,82,56,79,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-25,0,0,0,85,62,84,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-26,0,0,0,84,65,78,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-27,0.04,0,0,78,66,73,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-28,0.67,0,0,73,67,71,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-29,0.73,0,0,82,57,62,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-30,0.2,0,0,78,57,74,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,07,1980-07-31,0.02,0,0,87,66,86,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-01,0,0,0,87,66,86,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-02,1.7,0,0,86,66,71,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-03,0.43,0,0,81,64,80,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-04,0,0,0,82,62,81,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-05,0,0,0,83,70,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-06,0.13,0,0,82,66,81,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-07,0,0,0,88,67,88,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-08,0,0,0,88,73,85,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-09,0,0,0,87,68,79,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-10,0.31,0,0,79,61,74,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-11,0.1,0,0,77,65,75,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-12,0.11,0,0,76,62,74,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-13,0,0,0,77,56,73,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-14,0.44,0,0,77,64,77,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-15,0,0,0,77,59,73,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-16,0,0,0,73,53,71,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-17,0.14,0,0,71,61,65,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-18,0.02,0,0,82,62,81,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-19,0,0,0,81,58,79,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-20,1.45,0,0,81,66,80,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-21,0.58,0,0,82,69,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-22,0,0,0,79,61,79,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-23,0,0,0,80,57,80,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-24,0,0,0,84,58,81,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-25,0,0,0,81,61,80,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-26,0,0,0,84,65,82,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-27,0,0,0,87,66,86,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-28,0,0,0,86,66,85,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-29,0,0,0,86,69,79,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-30,0,0,0,82,68,78,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,08,1980-08-31,1.04,0,0,78,66,67,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,09,1980-09-01,0.7,0,0,83,67,80,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,09,1980-09-02,0.33,0,0,80,67,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,09,1980-09-03,0,0,0,78,56,76,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,09,1980-09-04,0.02,0,0,80,59,80,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,09,1980-09-05,0,0,0,81,62,78,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,09,1980-09-06,0,0,0,78,60,75,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,09,1980-09-07,0,0,0,73,55,72,
