DATE,MNFCTRSMNSA
2010-09-01,431329
2010-10-01,425072
2010-11-01,412464
2010-12-01,427075
2011-01-01,403211
2011-02-01,407684
2011-03-01,485327
2011-04-01,456422
2011-05-01,466496
2011-06-01,484994
2011-07-01,445432
2011-08-01,484300
2011-09-01,478009
2011-10-01,469514
2011-11-01,453233
2011-12-01,457272
2012-01-01,435311
2012-02-01,454203
2012-03-01,503034
2012-04-01,472768
2012-05-01,492737
2012-06-01,487786
2012-07-01,453322
2012-08-01,493639
2012-09-01,482291
2012-10-01,491536
2012-11-01,466972
2012-12-01,463129
2013-01-01,447698
2013-02-01,453460
2013-03-01,501357
2013-04-01,481536
2013-05-01,501786
2013-06-01,496787
2013-07-01,472658
2013-08-01,502369
2013-09-01,497294
2013-10-01,502416
2013-11-01,475314
2013-12-01,477070
2014-01-01,452050
2014-02-01,457775
2014-03-01,513837
2014-04-01,496679
2014-05-01,506834
2014-06-01,517103
2014-07-01,487954
2014-08-01,506596
2014-09-01,512979
2014-10-01,505469
2014-11-01,458120
2014-12-01,472163
2015-01-01,423521
2015-02-01,430442
2015-03-01,492546
2015-04-01,468971
2015-05-01,468498
2015-06-01,495409
2015-07-01,453456
2015-08-01,469172
2015-09-01,477453
2015-10-01,465155
2015-11-01,435608
2015-12-01,438789
2016-01-01,398356
2016-02-01,423776
2016-03-01,471486
2016-04-01,439843
2016-05-01,451461
2016-06-01,474773
2016-07-01,421241
2016-08-01,464788
2016-09-01,467615
2016-10-01,452659
2016-11-01,437846
2016-12-01,450850
2017-01-01,420615
2017-02-01,426664
2017-03-01,490697
2017-04-01,448700
2017-05-01,477455
2017-06-01,490177
2017-07-01,438584
2017-08-01,487312
2017-09-01,483636
2017-10-01,483405
2017-11-01,472117
2017-12-01,468602
2018-01-01,451332
2018-02-01,451626
2018-03-01,514746
2018-04-01,485237
2018-05-01,512316
2018-06-01,523850
2018-07-01,479966
2018-08-01,525899
2018-09-01,514274
2018-10-01,524492
2018-11-01,492831
2018-12-01,487380
2019-01-01,465919
2019-02-01,468846
2019-03-01,524161
2019-04-01,504187
2019-05-01,521475
2019-06-01,520507
2019-07-01,489206
2019-08-01,518607
2019-09-01,512116
2019-10-01,516737
2019-11-01,483631
2019-12-01,491768
2020-01-01,465975
2020-02-01,473087
2020-03-01,493599
2020-04-01,404341
2020-05-01,418914
2020-06-01,483749
2020-07-01,467059
2020-08-01,491215
2020-09-01,502538
2020-10-01,501929
