Viol Location,Offense,Speed Limit,Officer Name,Vio Date,Vio Time,Original Bal
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  36 MPH in a  20 MP,20,"CRAWFORD, TONY",1/9/2018,7:47:00 AM,261.1
6900     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  37 MPH in a  20 MP,20,"CRAWFORD, TONY",1/9/2018,7:27:00 AM,266.1
2000   NWLOOP 410 WBML,SPEEDING  92 MPH in a  65 MPH zone,65,"DAVILA, J",1/8/2018,8:06:00 PM,266.1
2100   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",1/7/2018,8:13:00 AM,191.1
1000   NWLOOP 410 EBML,SPEEDING  81 MPH in a  65 MPH zone,65,"DAVILA, J",1/7/2018,6:39:00 PM,211.1
2200   NWMILITARY                                                                                            HY,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",1/6/2018,9:19:00 AM,216.1
1700     JACKSON KELLER                                                                                      RD,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",1/6/2018,8:59:00 AM,216.1
5700     BLANCO                                                                                              RD,SPEEDING  56 MPH in a  35 MPH zone,35,"ZUNIGA, E.",1/6/2018,11:16:00 AM,246.1
1100   NWLOOP 410 EBML,SPEEDING  80 MPH in a  65 MPH zone,65,"CASTANEDA, RAYMOND",1/5/2018,7:32:00 PM,206.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",1/5/2018,3:56:00 PM,191.1
1700     JACKSON KELLER                                                                                      RD,SPEEDING  87 MPH in a  35 MPH zone,35,"TOMBLIN, GARY",1/5/2018,12:36:00 AM,416.1
2000   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"ZUNIGA, E.",1/3/2018,5:15:00 PM,221.1
2000   NWLOOP 410 EBML,SPEEDING  78 MPH in a  65 MPH zone,65,"DAVILA, J",1/2/2018,8:47:00 PM,196.1
5500     BLANCO                                                                                              RD,SPEEDING  53 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",1/2/2018,7:06:00 AM,231.1
2100   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/2/2018,2:52:00 PM,206.1
6400     BLANCO,SPEEDING  55 MPH in a  35 MPH zone,35,"CASTANEDA, RAYMOND",1/2/2018,2:21:00 AM,231.1
2100   NWMILITARY                                                                                            HY,SPEEDING  55 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",1/1/2018,9:27:00 AM,231.1
1900   NWLOOP 410 WBML,SPEEDING  83 MPH in a  65 MPH zone,65,"DAVILA, J",1/1/2018,9:20:00 PM,221.1
2200   NWMILITARY                                                                                            HY,SPEEDING  58 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",1/1/2018,8:31:00 AM,256.1
2200   NWMILITARY                                                                                            HY,SPEEDING  58 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",1/1/2018,7:59:00 AM,246.1
2000   NWLOOP 410 EBML,SPEEDING  85 MPH in a  65 MPH zone,65,"CRAWFORD, TONY",12/31/2017,7:18:00 AM,231.1
0001400  BLK JACKSON KELLER,SPEEDING  45 MPH in a  35 MPH zone,35,"COSSU, DANIEL",12/31/2017,3:28:00 PM,181.1
1800     JACKSON KELLER,SPEEDING  37 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",12/31/2017,10:52:00 AM,206.1
6400     WEST                                                                                                AV,SPEEDING  53 MPH in a  35 MPH zone,35,"SINGLETON, R.",12/30/2017,4:55:00 PM,221.1
6400     WEST                                                                                                AV,SPEEDING  45 MPH in a  35 MPH zone,35,"ALCALA, NATHAN",12/30/2017,2:29:00 AM,181.1
2000   NWLOOP 410 EBML,SPEEDING  94 MPH in a  65 MPH zone,65,"CASTANEDA, RAYMOND",12/30/2017,11:45:00 PM,276.1
2000   NWMILITARY                                                                                            HY,SPEEDING  57 MPH in a  35 MPH zone,35,"SINGLETON, R.",12/29/2017,8:34:00 PM,251.1
1900   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"SINGLETON, R.",12/29/2017,6:51:00 PM,206.1
6200     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",12/29/2017,4:15:00 PM,216.1
6400     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",12/29/2017,3:48:00 PM,216.1
1900   NWLOOP 410 EBML,SPEEDING  89 MPH in a  65 MPH zone,65,"CASTANEDA, RAYMOND",12/29/2017,10:46:00 PM,251.1
6900     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",12/28/2017,5:13:00 PM,216.1
1900   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",12/28/2017,4:54:00 PM,201.1
2100   NWMILITARY                                                                                            HY,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",12/27/2017,5:16:00 PM,216.1
6700     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",12/27/2017,4:36:00 PM,191.1
6700     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",12/27/2017,3:56:00 PM,196.1
6600     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",12/27/2017,3:20:00 PM,191.1
2000   NWLOOP 410 EBML,SPEEDING  80 MPH in a  65 MPH zone,65,"LEMMON, MATTHEW",12/24/2017,4:14:00 PM,206.1
2100   NWMILITARY                                                                                            HY,SPEEDING  58 MPH in a  35 MPH zone,35,"TOMBLIN, GARY",12/21/2017,2:20:00 AM,256.1
0001200  BLK JACKSON KELLER,SPEEDING  51 MPH in a  35 MPH zone,35,"COSSU, DANIEL",12/21/2017,11:32:00 PM,211.1
1100   NWLOOP 410 EBFR,SPEEDING  62 MPH in a  45 MPH zone,45,"TOMBLIN, GARY",12/21/2017,1:15:00 AM,216.1
0006700  BLK BLANCO,SPEEDING  57 MPH in a  35 MPH zone,35,"COSSU, DANIEL",12/17/2017,1:06:00 PM,241.1
1700   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"SINGLETON, R.",12/16/2017,3:17:00 PM,206.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  38 MPH in a  20 MP,20,"ZUNIGA, E.",12/15/2017,3:37:00 PM,271.1
5500     BLANCO                                                                                              RD,SPEEDING SCHOOL ZONE  39 MPH in a  20 MP,20,"SINGLETON, R.",12/15/2017,3:34:00 PM,276.1
5500     BLANCO                                                                                              RD,SPEEDING SCHOOL ZONE  36 MPH in a  20 MP,20,"SINGLETON, R.",12/15/2017,3:20:00 PM,261.1
0002200  BLK NW MILITARY,SPEEDING  50 MPH in a  35 MPH zone,35,"COSSU, DANIEL",12/15/2017,12:43:00 PM,206.1
6600     WEST                                                                                                AV,SPEEDING  56 MPH in a  35 MPH zone,35,"DAVILA, J",12/15/2017,12:22:00 PM,236.1
2200   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"DAVILA, J",12/15/2017,10:53:00 AM,211.1
0001700  BLK JACKSON KELLER,SPEEDING  49 MPH in a  35 MPH zone,35,"COSSU, DANIEL",12/14/2017,12:35:00 PM,201.1
2200   NWMILITARY                                                                                            HY,SPEEDING  54 MPH in a  35 MPH zone,35,"WAGGONER, W.",12/13/2017,9:55:00 AM,226.1
1900   NWLOOP 410 WBML,SPEEDING  84 MPH in a  65 MPH zone,65,"DAVILA, J",12/12/2017,8:45:00 PM,226.1
6425     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  38 MPH in a  20 MP,20,"CRAWFORD, TONY",12/12/2017,8:39:00 AM,271.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  40 MPH in a  20 MP,20,"SINGLETON, R.",12/12/2017,3:11:00 PM,281.1
2100   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/12/2017,1:40:00 PM,191.1
2200   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/12/2017,1:15:00 PM,191.1
1900   NWMILITARY                                                                                            HY,SPEEDING  54 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/12/2017,1:03:00 PM,236.1
2000   NWMILITARY                                                                                            HY,SPEEDING  54 MPH in a  35 MPH zone,35,"DAVILA, J",12/10/2017,4:41:00 PM,226.1
5800     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"SIEMENS, J.",12/9/2017,12:37:00 PM,201.1
5800     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",12/9/2017,12:31:00 PM,206.1
5800     BLANCO,SPEEDING  45 MPH in a  35 MPH zone,35,"SIEMENS, J.",12/9/2017,12:14:00 PM,181.1
5800     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",12/9/2017,11:37:00 AM,206.1
5700     BLANCO                                                                                              RD,SPEEDING  49 MPH in a  35 MPH zone,35,"SIEMENS, J.",12/9/2017,11:07:00 AM,201.1
0001600  BLK JACKSON KELLER,SPEEDING  50 MPH in a  35 MPH zone,35,"COSSU, DANIEL",12/8/2017,12:43:00 PM,206.1
6400     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",12/7/2017,5:23:00 PM,216.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  37 MPH in a  20 MP,20,"ZUNIGA, E.",12/7/2017,3:32:00 PM,266.1
5800     BLANCO                                                                                              RD,SPEEDING  55 MPH in a  35 MPH zone,35,"SIEMENS, J.",12/5/2017,4:28:00 PM,241.1
5800     BLANCO                                                                                              RD,SPEEDING  49 MPH in a  35 MPH zone,35,"SIEMENS, J.",12/5/2017,4:20:00 PM,201.1
5800     BLANCO                                                                                              RD,SPEEDING  52 MPH in a  35 MPH zone,35,"SIEMENS, J.",12/5/2017,3:31:00 PM,226.1
2200   NWMILITARY                                                                                            HY,SPEEDING  54 MPH in a  35 MPH zone,35,"WAGGONER, W.",12/4/2017,8:47:00 AM,236.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  35 MPH in a  20 MP,20,"CRAWFORD, TONY",12/4/2017,8:09:00 AM,256.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  40 MPH in a  20 MP,20,"CRAWFORD, TONY",12/4/2017,7:38:00 AM,281.1
2100   NWMILITARY                                                                                            HY,SPEEDING  52 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/2/2017,12:13:00 PM,216.1
2200   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/2/2017,11:59:00 AM,206.1
2200   NWMILITARY                                                                                            HY,SPEEDING  54 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/2/2017,11:50:00 AM,236.1
2200   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/2/2017,11:39:00 AM,206.1
2200   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/2/2017,11:27:00 AM,191.1
2200   NWMILITARY                                                                                            HY,SPEEDING  48 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/2/2017,11:13:00 AM,196.1
1100   NWLOOP 410 EBFR,SPEEDING  58 MPH in a  45 MPH zone,45,"LEMMON, MATTHEW",12/2/2017,11:00:00 AM,206.1
2200   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",12/2/2017,1:24:00 PM,201.1
5700     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"SIEMENS, J.",11/30/2017,5:14:00 PM,191.1
5700     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",11/30/2017,5:01:00 PM,206.1
2100   NWMILITARY                                                                                            HY,SPEEDING  46 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/30/2017,4:13:00 PM,186.1
2100   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/30/2017,3:58:00 PM,201.1
2000   NWLOOP 410 EBML,SPEEDING  80 MPH in a  65 MPH zone,65,"DAVILA, J",11/30/2017,12:23:00 AM,206.1
6900     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  34 MPH in a  20 MP,20,"WAGGONER, W.",11/29/2017,7:15:00 AM,251.1
2100   NWLOOP 410 WBFR,SPEEDING  58 MPH in a  45 MPH zone,45,"ZUNIGA, E.",11/29/2017,4:16:00 PM,196.1
1700   NWMILITARY                                                                                            HY,SPEEDING  55 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/29/2017,3:59:00 PM,231.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  33 MPH in a  20 MP,20,"ZUNIGA, E.",11/29/2017,3:32:00 PM,256.1
0005700  BLK BLANCO,SPEEDING  49 MPH in a  35 MPH zone,35,"COSSU, DANIEL",11/29/2017,12:01:00 PM,201.1
1700   NWLOOP 410 WBML,SPEEDING  86 MPH in a  65 MPH zone,65,"DAVILA, J",11/29/2017,11:28:00 PM,236.1
6300     WEST                                                                                                AV,SPEEDING  45 MPH in a  35 MPH zone,35,"DAVILA, J",11/29/2017,10:00:00 PM,181.1
2200   NWMILITARY                                                                                            HY,SPEEDING  55 MPH in a  35 MPH zone,35,"DAVILA, J",11/28/2017,9:07:00 PM,241.1
6400     WEST                                                                                                AV,SPEEDING  36 MPH in a  20 MPH zone,20,"MUNOZ, R.",11/28/2017,8:37:00 AM,236.1
1900   NWMILITARY                                                                                            HY,SPEEDING  55 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",11/28/2017,8:29:00 PM,231.1
6400     WEST                                                                                                AV,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/28/2017,5:08:00 PM,201.1
1000     JACKSON KELLER                                                                                      RD,SPEEDING  46 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/28/2017,4:36:00 PM,186.1
5700     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"SIEMENS, J.",11/28/2017,4:30:00 PM,191.1
5800     BLANCO                                                                                              RD,SPEEDING  51 MPH in a  35 MPH zone,35,"SIEMENS, J.",11/28/2017,3:56:00 PM,211.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  33 MPH in a  20 MP,20,"ZUNIGA, E.",11/28/2017,3:46:00 PM,256.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  35 MPH in a  20 MP,20,"ZUNIGA, E.",11/28/2017,3:30:00 PM,256.1
2200   NWMILITARY                                                                                            HY,SPEEDING  52 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/28/2017,12:31:00 PM,216.1
2000   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/28/2017,11:28:00 AM,191.1
1600     LOCKHILL SELMA,SPEEDING  37 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/28/2017,10:54:00 AM,181.1
2200   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"WAGGONER, W.",11/27/2017,8:57:00 AM,201.1
2000   NWMILITARY                                                                                            HY,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/27/2017,5:19:00 PM,196.1
2100   NWMILITARY                                                                                            HY,SPEEDING  52 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/26/2017,7:40:00 PM,226.1
1600     JACKSON KELLER                                                                                      RD,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/26/2017,4:48:00 PM,206.1
0001700  BLK WEST AVENUE,SPEEDING  48 MPH in a  35 MPH zone,35,"COSSU, DANIEL",11/26/2017,1:01:00 PM,196.1
2299   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"SINGLETON, R.",11/25/2017,4:47:00 PM,271.1
5700     BLANCO                                                                                              RD,SPEEDING  49 MPH in a  35 MPH zone,35,"SINGLETON, R.",11/25/2017,3:58:00 PM,201.1
6200     BLANCO                                                                                              RD,SPEEDING  46 MPH in a  35 MPH zone,35,"SINGLETON, R.",11/25/2017,3:31:00 PM,186.1
1700   NWMILITARY                                                                                            HY,SPEEDING  48 MPH in a  35 MPH zone,35,"SINGLETON, R.",11/25/2017,3:12:00 PM,196.1
1800   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"SINGLETON, R.",11/25/2017,2:57:00 PM,211.1
0001700  BLK JACKSON KELLER,SPEEDING  48 MPH in a  35 MPH zone,35,"COSSU, DANIEL",11/25/2017,12:11:00 PM,246.1
1800   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/24/2017,6:42:00 PM,191.1
1700   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"SINGLETON, R.",11/23/2017,4:38:00 PM,291.1
6400     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/22/2017,4:47:00 PM,216.1
2000   NWMILITARY                                                                                            HY,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/22/2017,4:16:00 PM,216.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/22/2017,3:57:00 PM,216.1
1900   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/22/2017,3:40:00 PM,281.1
0001200  BLK JACKSON KELLER,SPEEDING  46 MPH in a  35 MPH zone,35,"COSSU, DANIEL",11/22/2017,1:01:00 PM,236.1
2000   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/21/2017,5:31:00 PM,201.1
1900   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/21/2017,5:12:00 PM,191.1
6400     WEST                                                                                                AV,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/21/2017,4:57:00 PM,201.1
1900     MILITARY,SPEEDING  50 MPH in a  35 MPH zone,35,"SINGLETON, R.",11/21/2017,4:40:00 PM,206.1
2000   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/21/2017,3:29:00 PM,281.1
6600     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/21/2017,11:56:00 AM,271.1
5800     BLANCO                                                                                              RD,SPEEDING  52 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/21/2017,1:36:00 PM,216.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/21/2017,1:07:00 PM,206.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"WAGGONER, W.",11/20/2017,8:38:00 AM,206.1
2200   NWMILITARY                                                                                            HY,SPEEDING  53 MPH in a  35 MPH zone,35,"WAGGONER, W.",11/20/2017,7:05:00 AM,221.1
5800     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",11/20/2017,5:30:00 PM,206.1
1800     JACKSON KELLER                                                                                      RD,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/20/2017,5:11:00 PM,271.1
5800     BLANCO                                                                                              RD,SPEEDING  46 MPH in a  35 MPH zone,35,"SIEMENS, J.",11/20/2017,4:55:00 PM,186.1
1700   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",11/20/2017,4:44:00 PM,191.1
1100     LOOP 410,SPEEDING  80 MPH in a  65 MPH zone,65,"CASTANEDA, RAYMOND",11/20/2017,11:53:00 PM,206.1
1900   NWLOOP 410 WBML,SPEEDING  78 MPH in a  65 MPH zone,65,"DAVILA, J",11/20/2017,10:49:00 PM,276.1
1900   NWLOOP 410 WBML,SPEEDING  88 MPH in a  65 MPH zone,65,"DAVILA, J",11/20/2017,10:24:00 PM,326.1
1700   NWLOOP 410 WBML,SPEEDING  78 MPH in a  65 MPH zone,65,"DAVILA, J",11/19/2017,9:29:00 PM,196.1
1900   NWLOOP 410 EBML,SPEEDING  82 MPH in a  65 MPH zone,65,"DAVILA, J",11/19/2017,8:24:00 PM,296.1
2000     MILITARY,SPEEDING  50 MPH in a  35 MPH zone,35,"WAGGONER, W.",11/19/2017,7:51:00 AM,206.1
1100   NWLOOP 410 EBFR,SPEEDING  58 MPH in a  45 MPH zone,45,"LEMMON, MATTHEW",11/18/2017,12:59:00 PM,206.1
2200   NWMILITARY                                                                                            HY,SPEEDING  56 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",11/18/2017,12:56:00 PM,236.1
5800     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",11/18/2017,12:56:00 PM,286.1
1200     LOOP 410,SPEEDING  61 MPH in a  45 MPH zone,45,"LEMMON, MATTHEW",11/18/2017,12:49:00 PM,211.1
1600     JACKSON KELLER                                                                                      RD,SPEEDING  47 MPH in a  35 MPH zone,35,"SIEMENS, J.",11/18/2017,12:21:00 PM,191.1
1900   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",11/18/2017,10:04:00 AM,211.1
6400     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",11/18/2017,1:57:00 PM,206.1
